GENESIS-Tabelle: 12411-0010;;;;;;;;;;;;;;;;
Bevölkerung: Bundesländer, Stichtag;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;
;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.2010;10753880;12538696;3460725;2503273;660706;1786448;6067021;1642327;7918293;17845154;4003745;1017567;4149477;2335006;2834259;2235025
31.12.2011;10512441;12443372;3326002;2453180;652182;1718187;5993771;1606899;7774253;17544938;3990033;997855;4054182;2276736;2802266;2181603
31.12.2012;10569111;12519571;3375222;2449511;654774;1734272;6016481;1600327;7778995;17554329;3990278;994287;4050204;2259393;2806531;2170460
31.12.2013;10631278;12604244;3421829;2449193;657391;1746342;6045425;1596505;7790559;17571856;3994366;990718;4046385;2244577;2815955;2160840
31.12.2014;10716644;12691568;3469849;2457872;661888;1762791;6093888;1599138;7826739;17638098;4011582;989035;4055274;2235548;2830864;2156759
31.12.2015;10879618;12843514;3520031;2484826;671489;1787408;6176172;1612362;7926599;17865516;4052803;995597;4084851;2245470;2858714;2170714
31.12.2016;10951893;12930751;3574830;2494648;678753;1810438;6213088;1610674;7945685;17890100;4066053;996651;4081783;2236252;2881926;2158128
31.12.2017;11023425;12997204;3613495;2504040;681032;1830584;6243262;1611119;7962775;17912134;4073679;994187;4081308;2223081;2889821;2151205
31.12.2018;11069533;13076721;3644826;2511917;682986;1841179;6265809;1609675;7982448;17932651;4084844;990509;4077937;2208321;2896712;2143145
31.12.2019;11100394;13124737;3669491;2521893;681202;1847253;6288080;1608138;7993608;17947221;4093903;986887;4071971;2194782;2903773;2133378
31.12.2020;11103043;13140183;3664088;2531071;680130;1852478;6293154;1610774;8003421;17925570;4098391;983991;4056941;2180684;2910875;2120237
31.12.2021;11124642;13176989;3677472;2537868;676463;1853935;6295017;1611160;8027031;17924591;4106485;982348;4043002;2169253;2922005;2108863
31.12.2022;11280257;13369393;3755251;2573135;684864;1892122;6391360;1628378;8140242;18139116;4159150;992666;4086152;2186643;2953270;2126846
__________;;;;;;;;;;;;;;;;
"Berlin: bis 1989 nur Berlin-West.
Neue Länder ab 1990.

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.";;;;;;;;;;;;;;;;
© Statistisches Bundesamt (Destatis), 2023;;;;;;;;;;;;;;;;
Stand: 21.04.2024 / 16:22:12;;;;;;;;;;;;;;;;
